Fitting statistics for a 2D DOSY experiment  
Pure exponential fitting (Stejskal-Tanner equation)  
Monoexpoential fitting  


*******Fit Summary*******
Frequency   Exp. Ampl   Fit. Ampl1  error       Diff coef1  error       
-0.68254    0.00005     0.00000     0.00006     -0.00000    0.00000     
-0.68040    0.00007     0.00005     0.00005     0.00000     0.00000     
-0.67827    0.00013     0.00008     0.00006     0.00000     0.00000     
-0.67527    0.00003     -0.00003    0.00004     -0.00000    0.00000     
-0.67356    0.00004     0.00003     0.00005     0.00000     0.00000     
-0.67015    0.00003     0.00001     0.00006     0.00000     0.00000     
-0.66587    0.00005     0.00005     0.00005     0.00000     0.00000     
-0.66203    0.00002     0.00004     0.00004     0.00000     0.00000     
-0.65818    0.00007     0.00003     0.00005     0.00000     0.00000     
-0.65604    0.00011     0.00009     0.00005     0.00000     0.00000     
-0.65391    0.00008     0.00007     0.00003     0.00000     0.00000     
-0.65263    0.00004     0.00005     0.00005     0.00000     0.00000     
-0.65177    0.00015     0.00012     0.00006     0.00000     0.00000     
-0.65049    0.00002     0.00003     0.00005     0.00000     0.00000     
-0.64878    0.00015     0.00009     0.00006     0.00000     0.00000     
-0.64750    0.00004     0.00001     0.00004     -0.00000    0.00000     
-0.64622    0.00004     0.00005     0.00006     0.00000     0.00000     
-0.64451    0.00016     0.00010     0.00008     0.00000     0.00000     
-0.64322    0.00008     0.00003     0.00004     0.00000     0.00000     
-0.63852    0.00004     0.00003     0.00003     -0.00000    0.00000     
-0.63553    0.00014     0.00014     0.00009     0.00000     0.00000     
-0.63254    0.00010     0.00010     0.00007     0.00000     0.00000     
-0.63126    0.00008     0.00004     0.00004     0.00000     0.00000     
-0.62998    0.00005     0.00008     0.00007     0.00000     0.00000     
-0.62912    0.00006     0.00004     0.00006     0.00000     0.00000     
-0.62741    0.00001     0.00003     0.00006     0.00000     0.00000     
-0.62570    0.00019     0.00018     0.00006     0.00000     0.00000     
-0.62357    0.00017     0.00016     0.00004     0.00000     0.00000     
-0.62271    0.00020     0.00018     0.00010     0.00000     0.00000     
-0.62143    0.00007     -0.00002    0.00006     0.00000     0.00000     
-0.62058    0.00008     0.00005     0.00005     0.00000     0.00000     
-0.61758    0.00022     0.00018     0.00005     0.00000     0.00000     
-0.61588    0.00011     0.00003     0.00007     0.00000     0.00000     
-0.61459    0.00003     0.00003     0.00003     -0.00000    0.00000     
-0.61374    0.00022     0.00019     0.00007     0.00000     0.00000     
-0.61246    0.00010     0.00010     0.00004     0.00000     0.00000     
-0.61117    0.00004     0.00005     0.00004     0.00000     0.00000     
-0.60989    0.00017     0.00011     0.00006     0.00000     0.00000     
-0.60733    0.00020     0.00010     0.00007     0.00000     0.00000     
-0.60519    0.00017     0.00015     0.00005     0.00000     0.00000     
-0.60391    0.00013     0.00015     0.00005     0.00000     0.00000     
-0.60263    0.00012     0.00015     0.00006     0.00000     0.00000     
-0.60092    0.00011     0.00013     0.00004     0.00000     0.00000     
-0.59964    0.00022     0.00021     0.00005     0.00000     0.00000     
-0.59707    0.00023     0.00014     0.00009     0.00000     0.00000     
-0.59579    0.00025     0.00017     0.00007     0.00000     0.00000     
-0.59323    0.00013     0.00007     0.00006     0.00000     0.00000     
-0.59109    0.00022     0.00017     0.00007     0.00000     0.00000     
-0.58895    0.00015     0.00018     0.00008     0.00000     0.00000     
-0.58682    0.00016     0.00015     0.00006     0.00000     0.00000     
-0.58383    0.00018     0.00022     0.00008     0.00000     0.00000     
-0.58254    0.00022     0.00022     0.00006     0.00000     0.00000     
-0.58126    0.00014     0.00014     0.00008     0.00000     0.00000     
-0.57912    0.00025     0.00025     0.00005     0.00000     0.00000     
-0.57699    0.00024     0.00019     0.00005     0.00000     0.00000     
-0.57571    0.00019     0.00015     0.00009     0.00000     0.00000     
-0.57357    0.00016     0.00014     0.00005     0.00000     0.00000     
-0.57229    0.00029     0.00026     0.00009     0.00000     0.00000     
-0.57101    0.00029     0.00027     0.00006     0.00000     0.00000     
-0.56887    0.00016     0.00021     0.00007     0.00000     0.00000     
-0.56759    0.00023     0.00024     0.00005     0.00000     0.00000     
-0.56630    0.00027     0.00024     0.00008     0.00000     0.00000     
-0.56502    0.00024     0.00022     0.00005     0.00000     0.00000     
-0.56417    0.00037     0.00037     0.00007     0.00000     0.00000     
-0.56160    0.00031     0.00026     0.00007     0.00000     0.00000     
-0.56032    0.00022     0.00016     0.00007     0.00000     0.00000     
-0.55947    0.00040     0.00040     0.00007     0.00000     0.00000     
-0.55819    0.00026     0.00026     0.00005     0.00000     0.00000     
-0.55605    0.00022     0.00021     0.00005     0.00000     0.00000     
-0.55391    0.00028     0.00027     0.00004     0.00000     0.00000     
-0.55178    0.00015     0.00015     0.00009     0.00000     0.00000     
-0.55092    0.00027     0.00024     0.00007     0.00000     0.00000     
-0.54964    0.00042     0.00040     0.00009     0.00000     0.00000     
-0.54836    0.00022     0.00019     0.00005     0.00000     0.00000     
-0.54750    0.00030     0.00030     0.00005     0.00000     0.00000     
-0.54622    0.00024     0.00021     0.00005     0.00000     0.00000     
-0.54537    0.00026     0.00028     0.00005     0.00000     0.00000     
-0.54451    0.00028     0.00023     0.00007     0.00000     0.00000     
-0.54280    0.00035     0.00036     0.00008     0.00000     0.00000     
-0.54109    0.00031     0.00031     0.00008     0.00000     0.00000     
-0.53981    0.00028     0.00021     0.00007     0.00000     0.00000     
-0.53810    0.00029     0.00033     0.00006     0.00000     0.00000     
-0.53682    0.00019     0.00019     0.00004     0.00000     0.00000     
-0.53554    0.00025     0.00023     0.00008     0.00000     0.00000     
-0.53468    0.00027     0.00020     0.00008     0.00000     0.00000     
-0.53255    0.00030     0.00030     0.00006     0.00000     0.00000     
-0.53041    0.00033     0.00030     0.00008     0.00000     0.00000     
-0.52827    0.00032     0.00033     0.00006     0.00000     0.00000     
-0.52656    0.00035     0.00030     0.00006     0.00000     0.00000     
-0.52485    0.00028     0.00035     0.00006     0.00000     0.00000     
-0.52400    0.00039     0.00031     0.00009     0.00000     0.00000     
-0.52229    0.00030     0.00028     0.00009     0.00000     0.00000     
-0.52058    0.00040     0.00033     0.00008     0.00000     0.00000     
-0.51887    0.00032     0.00031     0.00005     0.00000     0.00000     
-0.51759    0.00026     0.00029     0.00006     0.00000     0.00000     
-0.51631    0.00022     0.00023     0.00008     0.00000     0.00000     
-0.51545    0.00034     0.00035     0.00007     0.00000     0.00000     
-0.51417    0.00038     0.00035     0.00012     0.00000     0.00000     
-0.51246    0.00033     0.00030     0.00006     0.00000     0.00000     
-0.51161    0.00039     0.00037     0.00005     0.00000     0.00000     
-0.50990    0.00035     0.00033     0.00006     0.00000     0.00000     
-0.50819    0.00034     0.00029     0.00005     0.00000     0.00000     
-0.50691    0.00037     0.00040     0.00008     0.00000     0.00000     
-0.50520    0.00033     0.00027     0.00008     0.00000     0.00000     
-0.50434    0.00039     0.00039     0.00004     0.00000     0.00000     
-0.50135    0.00041     0.00036     0.00009     0.00000     0.00000     
-0.49964    0.00035     0.00033     0.00006     0.00000     0.00000     
-0.49836    0.00038     0.00037     0.00006     0.00000     0.00000     
-0.49494    0.00032     0.00032     0.00005     0.00000     0.00000     
-0.49409    0.00037     0.00030     0.00009     0.00000     0.00000     
-0.49280    0.00037     0.00033     0.00008     0.00000     0.00000     
-0.49152    0.00044     0.00046     0.00006     0.00000     0.00000     
-0.48981    0.00036     0.00037     0.00008     0.00000     0.00000     
-0.48768    0.00043     0.00044     0.00006     0.00000     0.00000     
-0.48511    0.00039     0.00027     0.00008     0.00000     0.00000     
-0.48298    0.00036     0.00031     0.00008     0.00000     0.00000     
-0.48084    0.00034     0.00029     0.00005     0.00000     0.00000     
-0.47870    0.00043     0.00043     0.00007     0.00000     0.00000     
-0.47657    0.00039     0.00038     0.00006     0.00000     0.00000     
-0.47486    0.00035     0.00034     0.00005     0.00000     0.00000     
-0.47357    0.00041     0.00034     0.00009     0.00000     0.00000     
-0.47058    0.00045     0.00045     0.00005     0.00000     0.00000     
-0.46887    0.00042     0.00039     0.00006     0.00000     0.00000     
-0.46631    0.00043     0.00039     0.00008     0.00000     0.00000     
-0.46417    0.00040     0.00032     0.00006     0.00000     0.00000     
-0.46246    0.00037     0.00036     0.00008     0.00000     0.00000     
-0.46161    0.00038     0.00036     0.00005     0.00000     0.00000     
-0.45947    0.00036     0.00036     0.00006     0.00000     0.00000     
-0.45776    0.00043     0.00042     0.00008     0.00000     0.00000     
-0.45520    0.00053     0.00052     0.00008     0.00000     0.00000     
-0.45306    0.00042     0.00040     0.00008     0.00000     0.00000     
-0.45135    0.00058     0.00058     0.00010     0.00000     0.00000     
-0.45007    0.00034     0.00039     0.00009     0.00000     0.00000     
-0.44793    0.00049     0.00050     0.00006     0.00000     0.00000     
-0.44537    0.00041     0.00045     0.00009     0.00000     0.00000     
-0.44238    0.00060     0.00057     0.00009     0.00000     0.00000     
-0.44110    0.00038     0.00039     0.00005     0.00000     0.00000     
-0.43896    0.00050     0.00044     0.00008     0.00000     0.00000     
-0.43768    0.00050     0.00043     0.00008     0.00000     0.00000     
-0.43554    0.00045     0.00043     0.00005     0.00000     0.00000     
-0.43340    0.00042     0.00039     0.00010     0.00000     0.00000     
-0.42999    0.00064     0.00065     0.00006     0.00000     0.00000     
-0.42785    0.00042     0.00036     0.00005     0.00000     0.00000     
-0.42614    0.00044     0.00039     0.00009     0.00000     0.00000     
-0.42400    0.00047     0.00047     0.00009     0.00000     0.00000     
-0.42187    0.00057     0.00057     0.00010     0.00000     0.00000     
-0.41973    0.00052     0.00052     0.00007     0.00000     0.00000     
-0.41802    0.00040     0.00041     0.00003     0.00000     0.00000     
-0.41674    0.00048     0.00048     0.00012     0.00000     0.00000     
-0.41546    0.00044     0.00047     0.00006     0.00000     0.00000     
-0.41332    0.00055     0.00055     0.00008     0.00000     0.00000     
-0.41118    0.00057     0.00042     0.00014     0.00000     0.00000     
-0.40990    0.00047     0.00050     0.00006     0.00000     0.00000     
-0.40862    0.00044     0.00039     0.00007     0.00000     0.00000     
-0.40734    0.00043     0.00036     0.00010     0.00000     0.00000     
-0.40606    0.00052     0.00055     0.00005     0.00000     0.00000     
-0.40477    0.00035     0.00038     0.00008     0.00000     0.00000     
-0.40178    0.00056     0.00053     0.00007     0.00000     0.00000     
-0.40007    0.00050     0.00051     0.00006     0.00000     0.00000     
-0.39879    0.00041     0.00042     0.00004     0.00000     0.00000     
-0.39794    0.00054     0.00049     0.00008     0.00000     0.00000     
-0.39580    0.00042     0.00042     0.00009     0.00000     0.00000     
-0.39324    0.00040     0.00040     0.00005     0.00000     0.00000     
-0.39110    0.00049     0.00047     0.00005     0.00000     0.00000     
-0.39024    0.00057     0.00052     0.00007     0.00000     0.00000     
-0.38939    0.00062     0.00059     0.00008     0.00000     0.00000     
-0.38811    0.00056     0.00048     0.00008     0.00000     0.00000     
-0.38640    0.00055     0.00047     0.00012     0.00000     0.00000     
-0.38512    0.00052     0.00050     0.00006     0.00000     0.00000     
-0.38170    0.00053     0.00053     0.00007     0.00000     0.00000     
-0.37785    0.00049     0.00049     0.00007     0.00000     0.00000     
-0.37572    0.00049     0.00049     0.00006     0.00000     0.00000     
-0.37443    0.00048     0.00047     0.00007     0.00000     0.00000     
-0.37230    0.00050     0.00052     0.00008     0.00000     0.00000     
-0.37016    0.00053     0.00050     0.00006     0.00000     0.00000     
-0.36931    0.00061     0.00063     0.00006     0.00000     0.00000     
-0.36802    0.00049     0.00049     0.00005     0.00000     0.00000     
-0.36589    0.00052     0.00054     0.00006     0.00000     0.00000     
-0.36290    0.00057     0.00052     0.00008     0.00000     0.00000     
-0.35990    0.00055     0.00055     0.00005     0.00000     0.00000     
-0.35819    0.00054     0.00053     0.00006     0.00000     0.00000     
-0.35606    0.00053     0.00049     0.00009     0.00000     0.00000     
-0.35392    0.00052     0.00051     0.00004     0.00000     0.00000     
-0.35264    0.00050     0.00047     0.00006     0.00000     0.00000     
-0.35178    0.00058     0.00054     0.00009     0.00000     0.00000     
-0.35050    0.00041     0.00042     0.00005     0.00000     0.00000     
-0.34965    0.00052     0.00045     0.00009     0.00000     0.00000     
-0.34837    0.00050     0.00046     0.00008     0.00000     0.00000     
-0.34708    0.00054     0.00050     0.00008     0.00000     0.00000     
-0.34580    0.00057     0.00052     0.00010     0.00000     0.00000     
-0.34367    0.00058     0.00052     0.00008     0.00000     0.00000     
-0.34238    0.00051     0.00052     0.00006     0.00000     0.00000     
-0.34153    0.00063     0.00063     0.00008     0.00000     0.00000     
-0.33982    0.00061     0.00064     0.00005     0.00000     0.00000     
-0.33811    0.00055     0.00053     0.00007     0.00000     0.00000     
-0.33683    0.00060     0.00057     0.00008     0.00000     0.00000     
-0.33469    0.00062     0.00059     0.00008     0.00000     0.00000     
-0.33213    0.00055     0.00055     0.00007     0.00000     0.00000     
-0.33085    0.00061     0.00061     0.00010     0.00000     0.00000     
-0.32956    0.00058     0.00059     0.00007     0.00000     0.00000     
-0.32785    0.00060     0.00055     0.00007     0.00000     0.00000     
-0.32529    0.00059     0.00059     0.00006     0.00000     0.00000     
-0.32315    0.00052     0.00049     0.00008     0.00000     0.00000     
-0.32102    0.00051     0.00052     0.00005     0.00000     0.00000     
-0.31931    0.00055     0.00055     0.00008     0.00000     0.00000     
-0.31717    0.00063     0.00063     0.00009     0.00000     0.00000     
-0.31546    0.00053     0.00057     0.00008     0.00000     0.00000     
-0.31418    0.00059     0.00058     0.00005     0.00000     0.00000     
-0.31162    0.00069     0.00065     0.00009     0.00000     0.00000     
-0.30991    0.00064     0.00062     0.00006     0.00000     0.00000     
-0.30820    0.00058     0.00054     0.00007     0.00000     0.00000     
-0.30649    0.00062     0.00062     0.00005     0.00000     0.00000     
-0.30478    0.00063     0.00062     0.00006     0.00000     0.00000     
-0.30179    0.00062     0.00062     0.00007     0.00000     0.00000     
-0.30050    0.00067     0.00066     0.00004     0.00000     0.00000     
-0.29880    0.00065     0.00063     0.00006     0.00000     0.00000     
-0.29709    0.00063     0.00063     0.00007     0.00000     0.00000     
-0.29580    0.00064     0.00063     0.00008     0.00000     0.00000     
-0.29409    0.00065     0.00065     0.00009     0.00000     0.00000     
-0.29281    0.00059     0.00057     0.00009     0.00000     0.00000     
-0.29068    0.00063     0.00059     0.00007     0.00000     0.00000     
-0.28811    0.00066     0.00066     0.00008     0.00000     0.00000     
-0.28683    0.00073     0.00072     0.00007     0.00000     0.00000     
-0.28512    0.00062     0.00062     0.00007     0.00000     0.00000     
-0.28298    0.00066     0.00064     0.00009     0.00000     0.00000     
-0.28127    0.00068     0.00068     0.00010     0.00000     0.00000     
-0.27914    0.00071     0.00072     0.00007     0.00000     0.00000     
-0.27657    0.00059     0.00053     0.00008     0.00000     0.00000     
-0.27529    0.00067     0.00069     0.00005     0.00000     0.00000     
-0.27401    0.00061     0.00059     0.00005     0.00000     0.00000     
-0.27273    0.00073     0.00072     0.00006     0.00000     0.00000     
-0.27059    0.00070     0.00070     0.00007     0.00000     0.00000     
-0.26845    0.00070     0.00070     0.00007     0.00000     0.00000     
-0.26717    0.00067     0.00065     0.00008     0.00000     0.00000     
-0.26632    0.00076     0.00075     0.00006     0.00000     0.00000     
-0.26461    0.00063     0.00063     0.00005     0.00000     0.00000     
-0.26205    0.00070     0.00070     0.00007     0.00000     0.00000     
-0.26034    0.00067     0.00068     0.00003     0.00000     0.00000     
-0.25777    0.00080     0.00080     0.00007     0.00000     0.00000     
-0.25606    0.00064     0.00065     0.00005     0.00000     0.00000     
-0.25393    0.00085     0.00086     0.00003     0.00000     0.00000     
-0.25179    0.00099     0.00099     0.00006     0.00000     0.00000     
-0.24880    0.00075     0.00068     0.00008     0.00000     0.00000     
-0.24752    0.00074     0.00074     0.00007     0.00000     0.00000     
-0.24538    0.00059     0.00053     0.00007     0.00000     0.00000     
-0.24324    0.00063     0.00063     0.00006     0.00000     0.00000     
-0.24111    0.00071     0.00070     0.00004     0.00000     0.00000     
-0.23982    0.00069     0.00068     0.00007     0.00000     0.00000     
-0.23769    0.00077     0.00077     0.00007     0.00000     0.00000     
-0.23641    0.00068     0.00068     0.00007     0.00000     0.00000     
-0.23512    0.00064     0.00064     0.00005     0.00000     0.00000     
-0.23427    0.00075     0.00073     0.00009     0.00000     0.00000     
-0.23256    0.00070     0.00072     0.00005     0.00000     0.00000     
-0.23085    0.00083     0.00083     0.00009     0.00000     0.00000     
-0.22957    0.00068     0.00068     0.00008     0.00000     0.00000     
-0.22871    0.00073     0.00073     0.00007     0.00000     0.00000     
-0.22743    0.00066     0.00065     0.00007     0.00000     0.00000     
-0.22572    0.00068     0.00068     0.00006     0.00000     0.00000     
-0.22444    0.00066     0.00067     0.00004     0.00000     0.00000     
-0.22273    0.00070     0.00070     0.00007     0.00000     0.00000     
-0.22059    0.00068     0.00068     0.00007     0.00000     0.00000     
-0.21846    0.00068     0.00071     0.00008     0.00000     0.00000     
-0.21760    0.00085     0.00085     0.00010     0.00000     0.00000     
-0.21461    0.00082     0.00084     0.00006     0.00000     0.00000     
-0.21333    0.00069     0.00069     0.00010     0.00000     0.00000     
-0.21205    0.00065     0.00065     0.00012     0.00000     0.00000     
-0.20991    0.00089     0.00086     0.00008     0.00000     0.00000     
-0.20863    0.00065     0.00065     0.00004     0.00000     0.00000     
-0.20777    0.00092     0.00089     0.00011     0.00000     0.00000     
-0.20606    0.00074     0.00074     0.00007     0.00000     0.00000     
-0.20478    0.00078     0.00066     0.00008     0.00000     0.00000     
-0.20307    0.00075     0.00074     0.00007     0.00000     0.00000     
-0.20222    0.00079     0.00079     0.00006     0.00000     0.00000     
-0.20051    0.00080     0.00077     0.00006     0.00000     0.00000     
-0.19923    0.00076     0.00072     0.00006     0.00000     0.00000     
-0.19795    0.00084     0.00080     0.00006     0.00000     0.00000     
-0.19538    0.00077     0.00077     0.00008     0.00000     0.00000     
-0.19367    0.00085     0.00088     0.00008     0.00000     0.00000     
-0.19196    0.00084     0.00076     0.00008     0.00000     0.00000     
-0.18812    0.00080     0.00080     0.00011     0.00000     0.00000     
-0.18683    0.00091     0.00091     0.00011     0.00000     0.00000     
-0.18427    0.00098     0.00090     0.00011     0.00000     0.00000     
-0.18213    0.00083     0.00083     0.00005     0.00000     0.00000     
-0.18085    0.00081     0.00085     0.00008     0.00000     0.00000     
-0.17786    0.00089     0.00089     0.00007     0.00000     0.00000     
-0.17615    0.00081     0.00074     0.00009     0.00000     0.00000     
-0.17231    0.00083     0.00083     0.00009     0.00000     0.00000     
-0.16931    0.00085     0.00082     0.00010     0.00000     0.00000     
-0.16760    0.00090     0.00090     0.00009     0.00000     0.00000     
-0.16632    0.00090     0.00088     0.00010     0.00000     0.00000     
-0.16419    0.00080     0.00076     0.00008     0.00000     0.00000     
-0.16290    0.00087     0.00084     0.00005     0.00000     0.00000     
-0.16119    0.00082     0.00082     0.00006     0.00000     0.00000     
-0.15863    0.00080     0.00084     0.00006     0.00000     0.00000     
-0.15649    0.00083     0.00083     0.00004     0.00000     0.00000     
-0.15393    0.00087     0.00087     0.00008     0.00000     0.00000     
-0.15137    0.00097     0.00096     0.00010     0.00000     0.00000     
-0.14966    0.00092     0.00091     0.00006     0.00000     0.00000     
-0.14795    0.00091     0.00091     0.00006     0.00000     0.00000     
-0.14581    0.00100     0.00100     0.00006     0.00000     0.00000     
-0.14367    0.00113     0.00113     0.00010     0.00000     0.00000     
-0.13855    0.00308     0.00308     0.00010     0.00000     0.00000     
-0.13214    0.09058     0.09249     0.00048     0.00000     0.00000     
-0.12573    0.00363     0.00363     0.00009     0.00000     0.00000     
-0.12103    0.00068     0.00068     0.00012     0.00000     0.00000     
-0.11846    0.00068     0.00064     0.00011     0.00000     0.00000     
-0.11675    0.00074     0.00070     0.00012     0.00000     0.00000     
-0.11547    0.00067     0.00067     0.00006     0.00000     0.00000     
-0.11291    0.00063     0.00061     0.00005     0.00000     0.00000     
-0.11162    0.00069     0.00059     0.00011     0.00000     0.00000     
-0.10949    0.00069     0.00069     0.00009     0.00000     0.00000     
-0.10778    0.00065     0.00063     0.00005     0.00000     0.00000     
-0.10564    0.00081     0.00081     0.00010     0.00000     0.00000     
-0.10479    0.00082     0.00081     0.00011     0.00000     0.00000     
-0.10265    0.00064     0.00064     0.00005     0.00000     0.00000     
-0.10009    0.00062     0.00062     0.00009     0.00000     0.00000     
-0.09923    0.00063     0.00066     0.00008     0.00000     0.00000     
-0.09838    0.00066     0.00063     0.00007     0.00000     0.00000     
-0.09710    0.00056     0.00057     0.00006     0.00000     0.00000     
-0.09581    0.00065     0.00063     0.00009     0.00000     0.00000     
-0.09368    0.00067     0.00067     0.00006     0.00000     0.00000     
-0.09239    0.00078     0.00082     0.00007     0.00000     0.00000     
-0.09111    0.00073     0.00074     0.00006     0.00000     0.00000     
-0.08940    0.00086     0.00087     0.00008     0.00000     0.00000     
-0.08684    0.00059     0.00057     0.00006     0.00000     0.00000     
-0.08470    0.00082     0.00081     0.00005     0.00000     0.00000     
-0.08171    0.00064     0.00062     0.00006     0.00000     0.00000     
-0.07872    0.00057     0.00055     0.00007     0.00000     0.00000     
-0.07573    0.00065     0.00064     0.00011     0.00000     0.00000     
-0.07445    0.00069     0.00069     0.00009     0.00000     0.00000     
-0.07359    0.00076     0.00076     0.00010     0.00000     0.00000     
-0.07231    0.00060     0.00059     0.00006     0.00000     0.00000     
-0.07146    0.00062     0.00061     0.00006     0.00000     0.00000     
-0.06889    0.00067     0.00069     0.00009     0.00000     0.00000     
-0.06633    0.00064     0.00064     0.00007     0.00000     0.00000     
-0.06505    0.00068     0.00068     0.00008     0.00000     0.00000     
-0.06291    0.00062     0.00067     0.00007     0.00000     0.00000     
-0.06205    0.00071     0.00071     0.00007     0.00000     0.00000     
-0.05992    0.00068     0.00068     0.00009     0.00000     0.00000     
-0.05735    0.00072     0.00072     0.00008     0.00000     0.00000     
-0.05607    0.00071     0.00065     0.00007     0.00000     0.00000     
-0.05479    0.00071     0.00071     0.00009     0.00000     0.00000     
-0.05223    0.00072     0.00078     0.00009     0.00000     0.00000     
-0.05094    0.00072     0.00071     0.00009     0.00000     0.00000     
-0.04923    0.00079     0.00079     0.00005     0.00000     0.00000     
-0.04795    0.00064     0.00065     0.00005     0.00000     0.00000     
-0.04710    0.00082     0.00081     0.00012     0.00000     0.00000     
-0.04453    0.00066     0.00066     0.00009     0.00000     0.00000     
-0.04282    0.00077     0.00072     0.00007     0.00000     0.00000     
-0.04111    0.00073     0.00073     0.00006     0.00000     0.00000     
-0.03898    0.00083     0.00083     0.00011     0.00000     0.00000     
-0.03727    0.00088     0.00088     0.00005     0.00000     0.00000     
-0.03470    0.00068     0.00070     0.00009     0.00000     0.00000     
-0.03257    0.00081     0.00081     0.00005     0.00000     0.00000     
-0.03000    0.00070     0.00066     0.00009     0.00000     0.00000     
-0.02829    0.00072     0.00075     0.00004     0.00000     0.00000     
-0.02573    0.00084     0.00083     0.00006     0.00000     0.00000     
-0.02445    0.00085     0.00085     0.00006     0.00000     0.00000     
-0.02103    0.00079     0.00074     0.00007     0.00000     0.00000     
-0.01889    0.00072     0.00072     0.00005     0.00000     0.00000     
-0.01761    0.00080     0.00080     0.00009     0.00000     0.00000     
-0.01505    0.00111     0.00111     0.00004     0.00000     0.00000     
-0.01291    0.00098     0.00098     0.00008     0.00000     0.00000     
-0.01035    0.00083     0.00080     0.00006     0.00000     0.00000     
-0.00821    0.00088     0.00086     0.00007     0.00000     0.00000     
-0.00522    0.00086     0.00086     0.00006     0.00000     0.00000     
-0.00351    0.00080     0.00081     0.00007     0.00000     0.00000     
-0.00223    0.00087     0.00087     0.00007     0.00000     0.00000     
-0.00009    0.00081     0.00081     0.00007     0.00000     0.00000     
0.00119     0.00077     0.00077     0.00006     0.00000     0.00000     
0.00333     0.00083     0.00081     0.00010     0.00000     0.00000     
0.00760     0.00089     0.00079     0.00009     0.00000     0.00000     
0.00974     0.00084     0.00084     0.00008     0.00000     0.00000     
0.01059     0.00085     0.00081     0.00010     0.00000     0.00000     
0.01316     0.00091     0.00087     0.00009     0.00000     0.00000     
0.01487     0.00079     0.00079     0.00005     0.00000     0.00000     
0.01657     0.00081     0.00081     0.00006     0.00000     0.00000     
0.01786     0.00088     0.00088     0.00008     0.00000     0.00000     
0.02042     0.00091     0.00091     0.00009     0.00000     0.00000     
0.02298     0.00087     0.00086     0.00007     0.00000     0.00000     
0.02555     0.00085     0.00086     0.00005     0.00000     0.00000     
0.02726     0.00087     0.00085     0.00007     0.00000     0.00000     
0.02939     0.00092     0.00092     0.00011     0.00000     0.00000     
0.03068     0.00081     0.00081     0.00012     0.00000     0.00000     
0.03239     0.00084     0.00084     0.00009     0.00000     0.00000     
0.03367     0.00080     0.00079     0.00004     0.00000     0.00000     
0.03452     0.00082     0.00082     0.00008     0.00000     0.00000     
0.03580     0.00080     0.00079     0.00006     0.00000     0.00000     
0.03751     0.00082     0.00082     0.00007     0.00000     0.00000     
0.03880     0.00086     0.00086     0.00009     0.00000     0.00000     
0.04008     0.00081     0.00079     0.00005     0.00000     0.00000     
0.04264     0.00080     0.00081     0.00007     0.00000     0.00000     
0.04478     0.00076     0.00076     0.00007     0.00000     0.00000     
0.04606     0.00087     0.00087     0.00006     0.00000     0.00000     
0.04777     0.00089     0.00088     0.00007     0.00000     0.00000     
0.05076     0.00080     0.00082     0.00006     0.00000     0.00000     
0.05247     0.00090     0.00090     0.00007     0.00000     0.00000     
0.05418     0.00090     0.00085     0.00011     0.00000     0.00000     
0.05589     0.00088     0.00087     0.00006     0.00000     0.00000     
0.05717     0.00087     0.00088     0.00006     0.00000     0.00000     
0.05974     0.00092     0.00092     0.00008     0.00000     0.00000     
0.06230     0.00095     0.00095     0.00010     0.00000     0.00000     
0.06358     0.00087     0.00088     0.00006     0.00000     0.00000     
0.06486     0.00090     0.00090     0.00008     0.00000     0.00000     
0.06657     0.00086     0.00086     0.00009     0.00000     0.00000     
0.06785     0.00085     0.00085     0.00007     0.00000     0.00000     
0.06956     0.00078     0.00079     0.00007     0.00000     0.00000     
0.07127     0.00086     0.00089     0.00003     0.00000     0.00000     
0.07298     0.00090     0.00089     0.00006     0.00000     0.00000     
