ti:
##freq 100
##col_ Hz	Spectrum	Model	Line#1
50000	0	-12.2698	16.9066
49987.8	1	-12.2614	16.915
49975.6	2	-12.2529	16.9235
49963.4	3	-12.2444	16.932
49951.2	4	-12.236	16.9404
49939	5	-12.2275	16.9489
49926.8	6	-12.219	16.9574
49914.6	7	-12.2106	16.9658
49902.3	8	-12.2021	16.9743
49890.1	9	-12.1935	16.9829
49877.9	10	-12.1849	16.9915
49865.7	11	-12.1763	17.0001
49853.5	12	-12.1677	17.0087
49841.3	13	-12.1591	17.0173
49829.1	14	-12.1505	17.0259
49816.9	15	-12.1419	17.0345
49804.7	16	-12.1333	17.0431
49792.5	17	-12.1247	17.0517
49780.3	18	-12.1161	17.0603
49768.1	19	-12.1075	17.0689
49755.9	20	-12.0989	17.0775
49743.7	21	-12.0903	17.0861
49731.4	22	-12.0817	17.0947
49719.2	23	-12.0731	17.1033
49707	24	-12.0645	17.1119
49694.8	25	-12.0559	17.1205
49682.6	26	-12.0473	17.1291
49670.4	27	-12.0386	17.1378
49658.2	28	-12.0299	17.1465
49646	29	-12.0212	17.1552
49633.8	30	-12.0125	17.1639
49621.6	31	-12.0037	17.1726
49609.4	32	-11.995	17.1814
49597.2	33	-11.9863	17.1901
49585	34	-11.9776	17.1988
49572.8	35	-11.9689	17.2075
49560.5	36	-11.9602	17.2162
49548.3	37	-11.9515	17.2249
49536.1	38	-11.9428	17.2336
49523.9	39	-11.934	17.2423
49511.7	40	-11.9253	17.2511
49499.5	41	-11.9166	17.2598
49487.3	42	-11.9079	17.2685
49475.1	43	-11.8992	17.2772
49462.9	44	-11.8905	17.2859
49450.7	45	-11.8817	17.2947
49438.5	46	-11.8729	17.3035
49426.3	47	-11.864	17.3124
49414.1	48	-11.8552	17.3212
49401.9	49	-11.8463	17.3301
49389.6	50	-11.8375	17.3389
49377.4	51	-11.8286	17.3478
49365.2	52	-11.8197	17.3566
49353	53	-11.8109	17.3655
49340.8	54	-11.802	17.3743
49328.6	55	-11.7932	17.3832
49316.4	56	-11.7843	17.392
49304.2	57	-11.7755	17.4009
49292	58	-11.7666	17.4097
49279.8	59	-11.7578	17.4186
49267.6	60	-11.7489	17.4274
49255.4	61	-11.7401	17.4363
49243.2	62	-11.7312	17.4451
49231	63	-11.7224	17.454
49218.8	64	-11.7134	17.463
49206.5	65	-11.7044	17.472
49194.3	66	-11.6955	17.4809
49182.1	67	-11.6865	17.4899
49169.9	68	-11.6775	17.4989
49157.7	69	-11.6685	17.5079
49145.5	70	-11.6595	17.5169
49133.3	71	-11.6506	17.5258
49121.1	72	-11.6416	17.5348
49108.9	73	-11.6326	17.5438
49096.7	74	-11.6236	17.5528
49084.5	75	-11.6146	17.5618
49072.3	76	-11.6057	17.5707
